epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,584.904,1.96189,3.16021,1.92388,0.26602,0.26542,0.16669,0.05344,1.71321,31.4618,1.85896,0.000662577,0.000662577,0.000662577
2,1128.85,2.10567,2.89224,2.08733,0.12063,0.1274,0.05215,0.01808,1.87158,27.9135,2.40634,0.00128538,0.00128538,0.00128538
3,1825.99,2.07348,2.60632,2.06805,0.30205,0.2677,0.20886,0.07015,1.68153,15.6673,1.80432,0.00186418,0.00186418,0.00186418
4,2378.37,2.09031,2.56234,2.08375,0.21012,0.1672,0.10589,0.03703,1.79115,27.6518,1.83105,0.001802,0.001802,0.001802
5,2931.25,2.03638,2.41618,2.06537,0.34888,0.32161,0.27589,0.10566,1.58914,9.27433,1.67293,0.001736,0.001736,0.001736
6,3478.59,1.95746,2.2299,1.97893,0.50473,0.38922,0.40815,0.15916,1.56279,6.30847,1.6409,0.00167,0.00167,0.00167
7,4016.81,1.98051,2.20683,2.01591,0.53635,0.43947,0.44552,0.17499,1.46427,11.5964,1.57107,0.001604,0.001604,0.001604
8,4553.37,1.90926,2.14651,1.92068,0.54019,0.47921,0.50308,0.22337,1.39989,3.39861,1.48911,0.001538,0.001538,0.001538
9,5089.86,1.87934,2.08056,1.92182,0.62518,0.50747,0.56282,0.23805,1.43153,4.26831,1.50597,0.001472,0.001472,0.001472
10,5641.77,1.87009,2.00308,1.87122,0.59262,0.44632,0.49876,0.21052,1.44414,4.26112,1.5022,0.001406,0.001406,0.001406
11,6176.82,1.816,1.86625,1.85261,0.64862,0.56162,0.61198,0.2616,1.42497,7.5229,1.48794,0.00134,0.00134,0.00134
12,6712.89,1.79189,1.83359,1.83185,0.66976,0.59852,0.64426,0.28342,1.36703,3.5744,1.4325,0.001274,0.001274,0.001274
13,7244.72,1.80933,1.80025,1.81261,0.64108,0.57561,0.59794,0.27287,1.33723,4.36453,1.41205,0.001208,0.001208,0.001208
14,7775.68,1.7921,1.72326,1.79647,0.72644,0.62631,0.70127,0.3333,1.3397,2.46117,1.40312,0.001142,0.001142,0.001142
15,8306.84,1.80041,1.74573,1.82241,0.74522,0.59616,0.69038,0.31799,1.31864,4.25373,1.42131,0.001076,0.001076,0.001076
16,8837.33,1.7867,1.7513,1.79355,0.65819,0.58017,0.62671,0.27709,1.36404,2.59977,1.43227,0.00101,0.00101,0.00101
17,9366.95,1.72603,1.69892,1.78806,0.71496,0.63865,0.70693,0.32378,1.33557,3.59873,1.41175,0.000944,0.000944,0.000944
18,9896.58,1.74226,1.65539,1.7713,0.73909,0.67382,0.73422,0.34037,1.31661,3.42501,1.40372,0.000878,0.000878,0.000878
19,10448.5,1.69174,1.59916,1.74398,0.75984,0.672,0.74899,0.37824,1.2601,2.49959,1.35887,0.000812,0.000812,0.000812
20,10977.3,1.68372,1.57636,1.74216,0.77258,0.6875,0.74077,0.3581,1.26488,1.8331,1.35483,0.000746,0.000746,0.000746
21,11506.7,1.69542,1.4999,1.79279,0.75263,0.65738,0.73487,0.36307,1.25099,2.40371,1.33179,0.00068,0.00068,0.00068
22,12034.6,1.67324,1.4353,1.82582,0.78704,0.70352,0.77664,0.3974,1.20036,2.08992,1.31401,0.000614,0.000614,0.000614
23,12560.4,1.65587,1.3869,1.78229,0.77115,0.72225,0.76978,0.38044,1.20243,2.23722,1.30888,0.000548,0.000548,0.000548
24,13086.9,1.65641,1.31848,1.77975,0.84414,0.69712,0.80067,0.41727,1.18406,1.73069,1.28459,0.000482,0.000482,0.000482
25,13612.4,1.59532,1.25927,1.71395,0.8304,0.74783,0.83526,0.4365,1.17603,2.17208,1.27981,0.000416,0.000416,0.000416
26,14141.3,1.57028,1.2175,1.70229,0.8197,0.77021,0.8401,0.44517,1.14228,1.92444,1.25105,0.00035,0.00035,0.00035
27,14666.1,1.56931,1.19493,1.69988,0.82943,0.77086,0.84251,0.45616,1.10187,1.56734,1.22387,0.000284,0.000284,0.000284
28,15193.9,1.53479,1.15371,1.67127,0.85358,0.78026,0.85686,0.46486,1.10694,1.62685,1.22462,0.000218,0.000218,0.000218
29,15721.2,1.49605,1.14951,1.64599,0.85486,0.79109,0.87117,0.4872,1.07996,1.42026,1.20723,0.000152,0.000152,0.000152
30,16246.1,1.50131,1.10297,1.64488,0.84149,0.8063,0.86507,0.47915,1.06846,1.56241,1.20221,8.6e-05,8.6e-05,8.6e-05
